"location","indicator","Unit","Date","Value"
"Arizona","Cost of Living Index","Index, High=High cost of living","2021","103.2"
"Arizona","Cost of Living Index","Index, High=High cost of living","2022","105.8"
"Arizona","Cost of Living Index","Index, High=High cost of living","2023","108.4"
"Arizona","Miscellaneous","Index, High=High cost of living","2017","96.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2019","96.9"
"Arizona","Miscellaneous","Index, High=High cost of living","2020","99.5"
"Arizona","Miscellaneous","Index, High=High cost of living","2021","100.9"
"Arizona","Miscellaneous","Index, High=High cost of living","2022","99.6"
"Arizona","Miscellaneous","Index, High=High cost of living","2023","104.1"
"Arizona","Miscellaneous","Index, High=High cost of living","2017Q1","97.5"
"Arizona","Miscellaneous","Index, High=High cost of living","2017Q2","94.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2017Q3","96.4"
"Arizona","Miscellaneous","Index, High=High cost of living","2018Q1","93.4"
"Arizona","Miscellaneous","Index, High=High cost of living","2019Q1","95.6"
"Arizona","Miscellaneous","Index, High=High cost of living","2019Q2","96.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2019Q3","97.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2020Q1","98.1"
"Arizona","Miscellaneous","Index, High=High cost of living","2020Q3","97.9"
"Arizona","Miscellaneous","Index, High=High cost of living","2020Q4","99.5"
"Arizona","Miscellaneous","Index, High=High cost of living","2021Q1","99.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2021Q2","100.2"
"Arizona","Miscellaneous","Index, High=High cost of living","2021Q3","103.9"
"Arizona","Miscellaneous","Index, High=High cost of living","2022Q1","101.5"
"Arizona","Miscellaneous","Index, High=High cost of living","2022Q2","99.8"
"Arizona","Miscellaneous","Index, High=High cost of living","2022Q3","98.7"
"Arizona","Miscellaneous","Index, High=High cost of living","2023Q1","102.1"
"Arizona","Miscellaneous","Index, High=High cost of living","2023Q2","102.4"
"Arizona","Miscellaneous","Index, High=High cost of living","2023Q3","104.9"
"California","Cost of Living Index","Index, High=High cost of living","2017Q1","136.3"
"California","Cost of Living Index","Index, High=High cost of living","2017Q2","145.6"
"California","Cost of Living Index","Index, High=High cost of living","2017Q3","140.5"
"California","Cost of Living Index","Index, High=High cost of living","2018Q1","141"
"California","Cost of Living Index","Index, High=High cost of living","2019Q1","49"
"California","Cost of Living Index","Index, High=High cost of living","2019Q2","139.1"
"California","Cost of Living Index","Index, High=High cost of living","2019Q3","139.8"
"California","Cost of Living Index","Index, High=High cost of living","2020Q1","142.7"
"California","Cost of Living Index","Index, High=High cost of living","2020Q3","138.5"
"California","Cost of Living Index","Index, High=High cost of living","2020Q4","138.7"
"California","Cost of Living Index","Index, High=High cost of living","2021Q1","137.5"
"California","Cost of Living Index","Index, High=High cost of living","2021Q2","138.9"
"California","Cost of Living Index","Index, High=High cost of living","2021Q3","146.9"
"California","Cost of Living Index","Index, High=High cost of living","2022Q1","139.7"
"California","Cost of Living Index","Index, High=High cost of living","2022Q2","139.8"
"California","Cost of Living Index","Index, High=High cost of living","2022Q3","138.7"
"California","Cost of Living Index","Index, High=High cost of living","2023Q1","134.5"
"California","Cost of Living Index","Index, High=High cost of living","2023Q2","139.7"
"California","Cost of Living Index","Index, High=High cost of living","2023Q3","136.4"
"California","Cost of Living Index","Index, High=High cost of living","1960","11.71592"
"California","Cost of Living Index","Index, High=High cost of living","1961","11.96667"
"California","Cost of Living Index","Index, High=High cost of living","1962","12.38507"
"California","Cost of Living Index","Index, High=High cost of living","1963","12.60265"
"California","Cost of Living Index","Index, High=High cost of living","1964","13.14032"
"California","Cost of Living Index","Index, High=High cost of living","1965","13.64776"
"California","Cost of Living Index","Index, High=High cost of living","1966","14.42303"
"California","Cost of Living Index","Index, High=High cost of living","1967","15.21836"
"California","Cost of Living Index","Index, High=High cost of living","1968","16.22667"
"California","Cost of Living Index","Index, High=High cost of living","1969","17.69009"
"California","Cost of Living Index","Index, High=High cost of living","1970","18.84156"
"California","Cost of Living Index","Index, High=High cost of living","1971","19.97392"
